geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,state,tract,asian_all,other_all
16045960200,"Census Tract 9602, Gem County, Idaho",5469.0,4852.0,0.0,45.0,67.0,0.0,0.0,192.0,313.0,045,16,960200,67.0,237.0
16045960300,"Census Tract 9603, Gem County, Idaho",6934.0,5677.0,0.0,67.0,21.0,2.0,0.0,131.0,1036.0,045,16,960300,23.0,198.0
16085970300,"Census Tract 9703, Valley County, Idaho",4387.0,3962.0,0.0,1.0,0.0,0.0,0.0,9.0,415.0,085,16,970300,0.0,10.0
16085970100,"Census Tract 9701, Valley County, Idaho",2344.0,2269.0,6.0,0.0,0.0,0.0,0.0,36.0,33.0,085,16,970100,0.0,36.0
16003950200,"Census Tract 9502, Adams County, Idaho",2443.0,2338.0,13.0,22.0,0.0,8.0,13.0,30.0,19.0,003,16,950200,8.0,65.0
16003950100,"Census Tract 9501, Adams County, Idaho",1503.0,1318.0,0.0,27.0,0.0,0.0,0.0,46.0,112.0,003,16,950100,0.0,73.0
16041970100,"Census Tract 9701, Franklin County, Idaho",6286.0,5825.0,33.0,74.0,1.0,12.0,0.0,22.0,319.0,041,16,970100,13.0,96.0
16041970200,"Census Tract 9702, Franklin County, Idaho",6834.0,6156.0,0.0,0.0,1.0,0.0,0.0,115.0,562.0,041,16,970200,1.0,115.0
16053970500,"Census Tract 9705, Jerome County, Idaho",6935.0,4560.0,0.0,15.0,62.0,19.0,0.0,119.0,2160.0,053,16,970500,81.0,134.0
16053970400,"Census Tract 9704, Jerome County, Idaho",3022.0,1668.0,9.0,0.0,0.0,0.0,0.0,0.0,1345.0,053,16,970400,0.0,0.0
16053970200,"Census Tract 9702, Jerome County, Idaho",4328.0,2503.0,0.0,0.0,0.0,0.0,0.0,0.0,1825.0,053,16,970200,0.0,0.0
16053970300,"Census Tract 9703, Jerome County, Idaho",5578.0,3848.0,0.0,38.0,31.0,0.0,7.0,155.0,1499.0,053,16,970300,31.0,200.0
16053970100,"Census Tract 9701, Jerome County, Idaho",3176.0,1960.0,9.0,11.0,1.0,48.0,0.0,32.0,1115.0,053,16,970100,49.0,43.0
16055000200,"Census Tract 2, Kootenai County, Idaho",9248.0,8807.0,0.0,53.0,57.0,0.0,0.0,103.0,228.0,055,16,000200,57.0,156.0
16055000700,"Census Tract 7, Kootenai County, Idaho",17752.0,15078.0,4.0,388.0,195.0,0.0,0.0,1017.0,1070.0,055,16,000700,195.0,1405.0
16055000100,"Census Tract 1, Kootenai County, Idaho",6320.0,5939.0,0.0,48.0,7.0,9.0,0.0,93.0,224.0,055,16,000100,16.0,141.0
16055001600,"Census Tract 16, Kootenai County, Idaho",2840.0,2634.0,13.0,0.0,43.0,0.0,0.0,52.0,98.0,055,16,001600,43.0,52.0
16055001900,"Census Tract 19, Kootenai County, Idaho",2936.0,2725.0,15.0,8.0,18.0,18.0,0.0,20.0,132.0,055,16,001900,36.0,28.0
